clave,dia_1,dia_10,brote_dias,incidencia,mortalidad,letalidad,resid_incidencia,resid_mortalidad,resid_letalidad
01_001,2020-03-07,2020-03-18,11,1036.0486902255045,96.69787775438043,0.09333333333333334,-0.1056098048838483,0.11073884137599,0.22393697171883686
01_002,2020-03-15,2020-05-28,74,351.75017158544955,21.448181194234728,0.06097560975609756,-0.12405442541853473,-0.3513775126214036,-0.2158557726693794
01_003,2020-04-20,2020-05-07,17,572.2623311162905,17.05417543061793,0.029801324503311258,-0.04140707876492877,-0.5009921191329643,-0.4501850027705725
01_004,2020-05-07,2020-05-21,14,633.1179426930357,13.053978199856406,0.020618556701030927,-0.02356617299924091,-0.7049810367200298,-0.6802703445410212
01_005,2020-03-23,2020-04-23,31,310.13916500994037,23.061630218687874,0.07435897435897436,-0.25546787351020805,-0.3555980017294478,-0.08863292441030524
01_006,2020-03-23,2020-04-30,38,927.1204600616622,59.03833118317189,0.06367924528301887,0.002227648269815141,-0.10137112361813427,-0.10276054308868399
01_007,2020-03-29,2020-05-03,35,1009.9223892327341,31.43727281658316,0.0311284046692607,-0.015274806362676863,-0.38191644082736076,-0.36555828735152707
01_008,2020-04-18,2020-06-08,51,809.7627737226277,11.405109489051094,0.014084507042253521,-0.062002382357051466,-0.7762892453952166,-0.7136365635423685
01_009,2020-03-25,2020-05-20,56,883.6164811560242,19.527436047646944,0.022099447513812154,0.03032684847892675,-0.5556304406135251,-0.5852050694629287
01_010,2020-04-01,2020-07-09,99,145.3269857178652,30.06765221748935,0.20689655172413793,-0.32206797534418863,-0.11606010725837246,0.2203955578569533
01_011,2020-04-17,2020-05-20,33,245.83628632175763,28.791637136782423,0.11711711711711711,-0.24278928013944912,-0.253399599978563,-0.0016889851979218218
02_001,2020-03-16,2020-04-05,20,693.8578390481626,82.71501953725249,0.11921032649962035,0.11664110374414038,0.38560249200865915,0.2962598852379821
02_002,2020-03-11,2020-03-17,6,1128.0932662191733,174.3864699744923,0.15458515283842794,0.1594591769526752,0.5781374082186921,0.4393467460120283
02_003,2020-03-23,2020-04-03,11,771.1734463786416,101.92116893659241,0.13216374269005848,0.25423914755952826,0.407923908911592,0.17222929524634556
02_004,2020-03-01,2020-03-15,14,458.8147345074739,98.84888874717005,0.21544401544401545,0.13835181906483962,0.4387708943912785,0.3260125540687333
02_005,2020-03-15,2020-04-08,24,392.9610291062169,47.87801044282643,0.12183908045977011,0.09638000618631626,0.09339376109286945,0.015196664015446393
03_001,2020-04-08,2020-05-08,30,1016.4351992237249,67.92407059251622,0.06682577565632458,0.022788099054804167,0.11556181656403086,0.10597296328310479
03_002,2020-04-02,2020-05-03,31,1558.377814589852,62.88729369899994,0.040354330708661415,-0.004438579626124373,-0.012291124236994966,2.976330784369985e-4
03_003,2020-03-22,2020-03-27,5,2351.1425429113306,103.85206018652511,0.044170890658942794,0.028477966173518166,0.1137185652207271,0.09104694697016091
03_008,2020-03-09,2020-03-21,12,1320.8967627763275,71.3734002092316,0.0540340488527017,-0.09873496809207793,-0.03525266412633932,0.06914737315579367
03_009,2020-05-18,2020-06-01,14,2980.267634384214,68.04264005443412,0.0228310502283105,0.025299418985556876,-0.18030170147926983,-0.21133676584146532
04_001,2020-04-03,2020-05-10,37,444.56165467354856,69.69822552085296,0.15677966101694915,0.06709493151291124,0.25221100063726887,0.20246487340984753
04_002,2020-03-09,2020-04-06,28,963.1135965655538,119.6831045585494,0.12426686217008798,-0.022274951916168906,0.2927308948461529,0.3257824875106464
04_003,2020-03-08,2020-04-04,27,786.6241347134518,110.30821199430014,0.14022988505747128,0.06401012614663726,0.38542347149051026,0.3395421926344724
04_004,2020-04-15,2020-05-10,25,293.81976828304636,61.212451725634665,0.20833333333333334,0.01106437555064943,0.30656597712352984,0.3204688586791329
04_005,2020-04-15,2020-05-11,26,833.1333356190215,106.28449960571879,0.12757201646090535,0.10077319492522374,0.2899174115688463,0.19739986881129568
04_006,2020-05-01,2020-06-10,40,450.97132284921366,57.816836262719704,0.1282051282051282,0.03312634034248152,0.19029356075591175,0.17549548608677135
04_007,2020-05-02,2020-06-30,59,538.9353277606688,32.99604047514298,0.061224489795918366,-0.21270693366756976,-0.2679131513380537,-0.051404056793820985
04_008,2020-04-24,2020-06-02,39,495.8081673127197,45.073469755701794,0.09090909090909091,0.014726104803282514,-0.018433215005134063,-0.023477624004166975
04_009,2020-05-11,2020-05-23,12,804.6794208893485,61.40124095139607,0.07630522088353414,-0.121521422244943,-0.0015423110077652513,0.12786695816268656
04_010,2020-04-17,2020-06-17,61,277.06922332658985,35.183393438297124,0.12698412698412698,-0.19726030637522873,-0.01984774890317098,0.19555435195108894
04_011,2020-03-28,2020-04-21,24,350.34047172604363,51.81091483272476,0.14788732394366197,-0.10548228797203718,0.11983764282231468,0.24260011919481705
05_001,2020-10-20,NA,Inf,293.8295788442703,0,0,-0.13837970844602987,-Inf,-Inf
05_002,2020-03-30,2020-05-02,33,1314.5621816766538,142.25991960972468,0.1082184788157223,0.13837277599502107,0.4215880056229513,0.29639083977632463
05_003,2020-03-30,2020-06-24,86,1582.0843193969672,43.82505039880796,0.027700831024930747,0.026312555447424835,-0.333907777695462,-0.3659418369239795
05_004,2020-04-07,2020-06-22,76,349.65034965034965,27.245481790936335,0.07792207792207792,-0.07433022530726419,-0.1886099923842004,-0.1005144379958991
05_005,2020-07-24,NA,Inf,405.0925925925926,115.74074074074075,0.2857142857142857,-0.07835133175777553,0.40063953665818786,0.485998647053846
05_006,2020-03-21,2020-04-17,27,629.6882527011218,44.73195237767531,0.07103825136612021,0.06855281326914175,-0.0022905066429330656,-0.05752616967342261
05_007,2020-03-30,2020-05-04,35,2562.111801242236,42.34895539243365,0.01652892561983471,0.05016948660871812,-0.3163389463573083,-0.36897318141257984
05_008,2020-04-06,NA,Inf,290.88558500323205,32.32062055591467,0.1111111111111111,-0.2637338356290595,-0.1969350986292242,0.07218335452618596
05_009,2020-04-03,2020-05-11,38,1667.4655892624803,116.41443538998836,0.06981519507186858,0.05820435640618271,0.18435011751118568,0.12873519949588696
05_010,2020-03-20,2020-03-29,9,1059.8609462438528,77.52125778240752,0.07314285714285715,0.08640761972680311,0.06434213118443388,-0.017031211321206996
05_011,2020-05-09,2020-08-21,104,497.2425639634753,18.08154778049001,0.03636363636363636,-0.18278910104344437,-0.49229912657483843,-0.30336770366845234
