fecha_estimacion,fecha,nuevos_mu_10,nuevos_mu_50,nuevos_mu_90,acum_mu_10,acum_mu_50,acum_mu_90,nuevos_obs_10,nuevos_obs_50,nuevos_obs_90,acum_obs_10,acum_obs_50,acum_obs_90
2021-01-07,2020-03-01,30,30,30,30,30,30,28,30.5,38,28,30.5,38
2021-01-07,2020-03-02,7.295227302088223,7.3598195905686055,7.38622648405666,37.29522730208822,37.359819590568605,37.386226484056664,4,6,8,32,39,44
2021-01-07,2020-03-03,10.057911472908643,10.24937587434103,10.327789682986262,47.353138774996864,47.60919546490963,47.71401616704292,6,9.5,11,42,50,53
2021-01-07,2020-03-04,12.783514592702035,13.115826286342958,13.252335704685228,60.136653367698905,60.7250217512526,60.96635187172815,5,11,17,55,59.5,72
2021-01-07,2020-03-05,15.717817952601903,16.223351182521306,16.431791218987215,75.8544713203008,76.9483729337739,77.39814309071537,10,17.5,20,74,79.5,93
2021-01-07,2020-03-06,19.044473714282088,19.771702688241437,20.07276516242255,94.8989450345829,96.72007562201533,97.4709082531379,15,21.5,30,88,104.5,110
2021-01-07,2020-03-07,22.92098077770672,23.93506744276177,24.356634547826296,117.81992581228961,120.6551430647771,121.82754280096421,16,21.5,25,110,122.5,132
2021-01-07,2020-03-08,27.500704666401475,28.885986963654283,29.46428042024885,145.3206304786911,149.54113002843138,151.29182322121306,25,27.5,34,136,148.5,163
2021-01-07,2020-03-09,32.94737344383796,34.811342497900185,35.59272476849059,178.26800392252906,184.35247252633155,186.88454798970366,23,26.5,31,162,180,191
2021-01-07,2020-03-10,39.44574231327805,41.924419315109716,42.96782068827032,217.7137462358071,226.27689184144128,229.85236867797397,27,41,50,196,215.5,242
2021-01-07,2020-03-11,47.210588725674434,50.47540711267601,51.85543663068579,264.9243349614815,276.7522989541173,281.7078053086598,40,50.5,59,256,266.5,304
2021-01-07,2020-03-12,56.49535277468792,60.76178584248677,62.572643654797346,321.41968773616946,337.51408479660404,344.2804489634571,45,54.5,66,309,321.5,360
2021-01-07,2020-03-13,67.60127912789706,73.13956409170152,75.49992353352606,389.0209668640665,410.6536488883056,419.7803724969832,57,76.5,82,368,390.5,419
2021-01-07,2020-03-14,80.88768091032964,88.03609854073885,91.09517706550031,469.9086477743962,498.6897474290445,510.87554956248346,76,88,104,460,482,519
2021-01-07,2020-03-15,96.78384008422415,105.96512730266906,109.91022205149571,566.6924878586203,604.6548747317134,620.7857716139791,93,102.5,120,561,578,620
2021-01-07,2020-03-16,115.80303155585078,127.54464201173022,132.61047251406976,682.4955194144711,732.1995167434436,753.3962441280489,107,131.5,138,686,727.5,761
2021-01-07,2020-03-17,138.55918155252672,153.5182740628939,159.99855508232,821.0547009669978,885.7177908063376,913.3947992103689,129,162.5,189,819,877,950
2021-01-07,2020-03-18,165.78673024684045,184.7809648672531,193.04273059553697,986.8414312138383,1070.4987556735907,1106.4375298059058,179,212,241,1060,1101,1199
