date,mean,median,lower_90,upper_90,lower_50,upper_50,estado,fecha_estimado
2020-03-21,1.1638129882345791,1.131116683656658,0.8549494554138087,1.474393592162228,1.0220229623065877,1.214856916056663,Aguascalientes,2020-06-30
2020-03-22,1.1624502096810283,1.1321403446597,0.8649018797426477,1.483291895096977,1.0035222184804278,1.19819718820253,Aguascalientes,2020-06-30
2020-03-23,1.1608419348242185,1.1329449942669398,0.8695387821636316,1.4740360442794715,1.012805461058851,1.2055091503092061,Aguascalientes,2020-06-30
2020-03-24,1.159710979975164,1.1333815862771206,0.830160965475971,1.4424163105537642,1.0207202125844177,1.2122116742695657,Aguascalientes,2020-06-30
2020-03-25,1.1589252316208758,1.132867817379464,0.8512228182308811,1.446222914892816,1.0191850350344016,1.2095859968142928,Aguascalientes,2020-06-30
2020-03-26,1.1587980356338903,1.1292545994357024,0.8561350222574245,1.4446337076352627,1.011583547196661,1.1997209050597377,Aguascalientes,2020-06-30
2020-03-27,1.1592404272100296,1.1286611338948362,0.8998703801562338,1.4987102362273557,1.017554246063346,1.2045865581860535,Aguascalientes,2020-06-30
2020-03-28,1.16008394537509,1.1291926236392018,0.882042063118929,1.485352072210494,1.0145255079396376,1.2021747145642256,Aguascalientes,2020-06-30
2020-03-29,1.1598472018881059,1.1289515342231515,0.8800841834476311,1.4798889004552804,1.0172587820986245,1.2044838526893777,Aguascalientes,2020-06-30
2020-03-30,1.1595647495801884,1.126307125068934,0.8838530191264332,1.4809171043973446,1.0200297338178472,1.204792913966291,Aguascalientes,2020-06-30
2020-03-31,1.1592667687297653,1.127647607846028,0.8810638145987506,1.4618303686437821,1.0183031074739135,1.2015016602429922,Aguascalientes,2020-06-30
2020-04-01,1.1593684649066303,1.128399100694356,0.8690183310284105,1.4522070142882761,1.0103861191429544,1.1942434356190323,Aguascalientes,2020-06-30
2020-04-02,1.158913721737334,1.1277712101288089,0.8824698856013983,1.4560274676017237,1.0058121495436674,1.1897393495939779,Aguascalientes,2020-06-30
2020-04-03,1.1584741536191252,1.1290104375122496,0.869459131663961,1.4360053317264174,1.0127127558595523,1.1913197007757623,Aguascalientes,2020-06-30
2020-04-04,1.1570432512729698,1.1273032848068414,0.9015924835076992,1.457019748621018,1.0097310612268604,1.1876011715708372,Aguascalientes,2020-06-30
2020-04-05,1.1573578207252555,1.12852162637984,0.9022297555017994,1.4575336008606683,1.0090642466443838,1.1863920142031064,Aguascalientes,2020-06-30
2020-04-06,1.1562975444185033,1.126109763835001,0.8693457403188323,1.4172521510532436,1.012801451437248,1.187444476574279,Aguascalientes,2020-06-30
2020-04-07,1.1555983742946623,1.126365421169297,0.9111639459910953,1.4493981560575286,1.01857616041804,1.1922414858574815,Aguascalientes,2020-06-30
2020-04-08,1.1568005384697888,1.1277585924914777,0.9149912337530668,1.4600547846840535,1.0230439623151986,1.1947671855563238,Aguascalientes,2020-06-30
2020-04-09,1.1560936251794938,1.1267476414518607,0.8978942471266356,1.4346478232185198,1.024407720648615,1.1947852256717417,Aguascalientes,2020-06-30
2020-04-10,1.1561761938341244,1.12648728174874,0.8749316818129533,1.4117254061143214,1.0181173306000029,1.186929962192014,Aguascalientes,2020-06-30
2020-04-11,1.1549606561161607,1.1267647337354543,0.9125375357052802,1.4323581456607462,1.0203016294496532,1.1890091436372852,Aguascalientes,2020-06-30
2020-04-12,1.1532999902599614,1.1253151162904649,0.9047597874534162,1.4172422729886864,1.0185864409491472,1.1892546029225455,Aguascalientes,2020-06-30
2020-04-13,1.1509016627630582,1.1260490779148262,0.908760981730196,1.4139478738994076,1.0229613807335205,1.193040854051026,Aguascalientes,2020-06-30
2020-04-14,1.1495934667296765,1.1238044623926748,0.907353392299069,1.4130767685912062,1.0235571408054307,1.1957445132784845,Aguascalientes,2020-06-30
2020-04-15,1.148103963901813,1.1244626342776964,0.9022538960080292,1.4013524379020534,1.0079445056805583,1.1753220491861773,Aguascalientes,2020-06-30
2020-04-16,1.1447010108640319,1.1217326619396686,0.9123871781433649,1.4008623996964678,1.0131440332093904,1.1785894899939906,Aguascalientes,2020-06-30
2020-04-17,1.1426812046574988,1.1195632332980647,0.919658070270848,1.4109738024288858,1.0109547838141963,1.1759220165064783,Aguascalientes,2020-06-30
2020-04-18,1.1407433723732692,1.1211260826910419,0.9212400194218118,1.3960696420610381,1.0247676263609724,1.1851957453860735,Aguascalientes,2020-06-30
2020-04-19,1.1393200842429652,1.119059712415902,0.9268424979608322,1.4081101979201103,1.0138035955733102,1.1752318527476258,Aguascalientes,2020-06-30
2020-04-20,1.1370150073491048,1.118032120268114,0.9074908870802598,1.3869114207648798,1.0193988494106314,1.1802931976349853,Aguascalientes,2020-06-30
2020-04-21,1.1339740304838555,1.1160766916707736,0.9146807071069527,1.3805373051742629,1.0184847952457219,1.1769637804076465,Aguascalientes,2020-06-30
2020-04-22,1.130995616889004,1.1132559452368427,0.922514404884036,1.394110557841443,1.0178706115369296,1.1763430701704363,Aguascalientes,2020-06-30
2020-04-23,1.1278959301338947,1.113156035105775,0.9102832825707181,1.3791996371179605,1.0276260354665454,1.18553716466131,Aguascalientes,2020-06-30
2020-04-24,1.1253928742065804,1.110320212107337,0.9194541662559501,1.3797623957393543,1.0169243054125887,1.1742402471728104,Aguascalientes,2020-06-30
2020-04-25,1.1254361901825345,1.1089415256661295,0.8991574842246743,1.3544809856444657,1.0114030530187603,1.1683675936784055,Aguascalientes,2020-06-30
