fecha_estimacion,fecha,nuevos_mu_10,nuevos_mu_50,nuevos_mu_90,acum_mu_10,acum_mu_50,acum_mu_90,nuevos_obs_10,nuevos_obs_50,nuevos_obs_90,acum_obs_10,acum_obs_50,acum_obs_90
2020-06-27,2020-03-01,222,222,222,222,222,222,100,210,318,100,210,318
2020-06-27,2020-03-02,53.88675914708234,54.603254671232406,55.2579546049942,275.88675914708233,276.60325467123243,277.2579546049942,19,52,75,146,266,372
2020-06-27,2020-03-03,74.13871339666554,76.2627620850339,78.21079401905219,350.02547254374787,352.8660167562663,355.4687486240464,35,72,110,219,344,458
2020-06-27,2020-03-04,94.09626888168525,97.78347349159284,101.186500259295,444.12174142543313,450.64949024785915,456.6552488833414,43,93,138,309,442,566
2020-06-27,2020-03-05,115.55102133871947,121.16143153080502,126.37968020124875,559.6727627641526,571.8109217786641,583.0349290845901,50,114,169,419,565,706
2020-06-27,2020-03-06,139.83843789902107,147.91113105026352,155.4829122486909,699.5112006631737,719.7220528289276,738.517841333281,65,140,209,538,713,868
2020-06-27,2020-03-07,168.0998343901872,179.35958774418913,190.01241258997385,867.6110350533609,899.0816405731168,928.5302539232549,72,169,245,691,891,1076
2020-06-27,2020-03-08,201.405023278936,216.82766112085105,231.4726810762938,1069.0535899134804,1115.9093016939678,1160.0410128568235,99,206,307,891,1104,1344
2020-06-27,2020-03-09,240.99482845711316,261.75177579618554,281.63422160366184,1309.9332995340474,1377.6610774901533,1441.5614853373017,111,249,362,1115,1370,1644
2020-06-27,2020-03-10,288.167539000167,315.7764779525961,342.4521316578002,1598.1008385342143,1693.4375554427497,1784.013616995102,130,300,440,1348,1684.5,1978
2020-06-27,2020-03-11,344.46144288092813,380.83570861356725,416.28453757659855,1942.5622814151425,2074.2732640563167,2200.2981545717007,158,362,531,1726,2060.5,2477
2020-06-27,2020-03-12,410.33720356293946,459.2338284066913,504.61526279042465,2354.250994190562,2533.507092463008,2706.2668637412735,211,437,652,2072,2515.5,2977
2020-06-27,2020-03-13,490.2536226686145,553.7338101939686,613.1575323809235,2846.2511119880364,3087.2409026569767,3321.203685126423,244,522.5,786,2523,3079,3625
2020-06-27,2020-03-14,585.7133011568678,667.6582466812583,745.0252396195701,3434.20851421165,3754.8991493382355,4068.554656373091,320,643,978,3103,3753,4467
2020-06-27,2020-03-15,699.7476596569854,805.0081368499395,905.2391438296501,4124.813260183394,4559.907286188174,4964.729460604157,357,765,1154,3706,4548,5393
2020-06-27,2020-03-16,835.9753449192889,970.6044013572275,1099.896328214209,4960.788605102683,5530.511687545402,6064.625788818365,418,939,1382,4457,5513,6557
2020-06-27,2020-03-17,954.8131540530857,1100.7980710815496,1247.7503413019192,5930.095360803099,6633.024926057278,7325.174866484935,499,1050,1585,5204,6599,7753
2020-06-27,2020-03-18,1018.2827758773418,1164.1986226390989,1290.998689280922,6958.628454251603,7798.604752537806,8623.938972471276,506,1102,1621,6249,7778,9201
2020-06-27,2020-03-19,1117.8027506016072,1253.2394230243224,1383.40218104472,8086.11145067214,9052.620012062576,10012.140224408528,533,1185,1760,7389,9020.5,10740
2020-06-27,2020-03-20,1215.2888623288861,1364.8291498527155,1484.8960436470736,9253.150712384118,10417.378272502718,11427.00923618953,614,1302,1927,8416,10390,12203
2020-06-27,2020-03-21,1358.3300634335885,1494.1084380588434,1640.2710782347565,10600.454935904241,11908.42390360744,13020.183694031932,691,1426,2106,9937,11901.5,14130
2020-06-27,2020-03-22,1499.5878732776237,1642.2256783119255,1803.1807507746619,12112.280114478324,13553.310076765392,14778.649280012032,694,1591,2292,11050,13550,15665
2020-06-27,2020-03-23,1644.3277691833364,1807.7529886892905,1975.2259309463454,13840.80145765596,15351.994031838592,16786.08197465832,790,1705,2546,12777,15314.5,17964
2020-06-27,2020-03-24,1816.3205910389388,1991.2285861835283,2186.8343080247087,15654.761914138257,17349.100957693707,18898.539921459207,905,1891,2834,14467,17351.5,20173
2020-06-27,2020-03-25,1969.8202982361045,2195.220528053282,2394.7028496481407,17632.28059287144,19553.126196448575,21190.976187842214,966,2110,3095,16410,19562.5,22601
2020-06-27,2020-03-26,2169.7332748344456,2420.7407030065733,2661.5539122621467,20049.751969408986,21976.817502465332,23977.615355198184,988,2286.5,3352,18588,21972.5,25400
2020-06-27,2020-03-27,2395.689750729748,2666.8512223928064,2972.41190623869,22561.889347115575,24638.142398390955,26906.4133419957,1206,2544.5,3778,20499,24657.5,28083
2020-06-27,2020-03-28,2614.5181862763584,2941.963579502116,3292.1798151733838,25334.54894164698,27598.22751258792,30203.782348213914,1332,2785,4219,23432,27575.5,31786
2020-06-27,2020-03-29,2871.4586565545656,3242.6832350962213,3671.9801644253694,28218.81902483755,30871.942079842654,33629.58857660027,1441,3078,4580,26163,30829.5,35366
2020-06-27,2020-03-30,3109.982249827321,3574.987902378989,4054.687891519624,31458.600976928134,34471.72449118162,37604.912789892944,1577,3357.5,5100,29213,34458.5,39529
